step,Signaling-generalization-train/Signaling/reward_step
1,0.4769510488054329
2,0.5750516364842035
3,0.508386466391636
4,0.5633828247426075
5,0.5851281204917949
6,0.557160413200651
7,0.5747328413461152
8,0.642166985371613
9,0.5291058038657643
10,0.5832083576986702
11,0.5746359545174705
12,0.4496839439367697
13,0.622826784717236
14,0.565904130231877
15,0.7587392342540227
16,0.6395173603653816
17,0.672189034720249
18,0.6310947857342823
19,0.6557465301939497
20,0.7184027305826054
21,0.6328092082713237
22,0.6655331686028858
23,0.7316709268538462
24,0.6623513946527011
25,0.6823643520345476
26,0.690440509192178
27,0.6664163407463204
28,0.6363083726080063
29,0.7105965503367194
30,0.6796716326150395
31,0.7068949677131887
32,0.5755364577571831
33,0.7106967157324602
34,0.7299715814590837
35,0.6765389043187988
36,0.6648403600816633
37,0.699834940543469
38,0.7430140108973795
39,0.7099144970830047
40,0.6603737939698477
41,0.6951718234331068
42,0.685968628650903
43,0.7482269117621515
44,0.7065498480380232
45,0.7569961585383901
46,0.7642496815993538
47,0.757754555945797
48,0.7600974440259513
49,0.718281210764774
50,0.724992786741282
