step,Signaling-generalization-train/Signalingp2/reward_step
1,0.7308154071736563
2,0.5475804831021898
3,0.6827234420519228
4,0.6599401198514829
5,0.5999264178907975
6,0.6767999945223997
7,0.5734851124666968
8,0.6582708176029701
9,0.6441687456372069
10,0.6518171584593045
11,0.6736725177103076
12,0.6857212003265429
13,0.680950209003814
14,0.5454779720758798
15,0.5913288436160131
16,0.6629553654139669
17,0.652510395283936
18,0.6159257230254687
19,0.7013695696731186
20,0.6246387103151869
21,0.572620817959326
22,0.6947101543234324
23,0.65898547625285
24,0.6407805959113939
25,0.7258156554421222
26,0.6088176218682712
27,0.7584907066953294
28,0.7659115677348425
29,0.716791424861287
30,0.8520120781033497
31,0.5889282326807608
32,0.8321114622957418
33,0.6983492171890281
34,0.7456101106094548
35,0.6941237339618516
36,0.7525942109886438
37,0.7613262696091992
38,0.8218809641425484
39,0.7050658518701964
40,0.7901270336143829
41,0.7635286763220348
42,0.7189669458743392
43,0.6463087476995617
44,0.7845190402489481
45,0.686930774361759
46,0.6433692848756568
47,0.671614195790297
48,0.6717283339497575
49,0.7957997993765293
50,0.591161373755773
