step,Signaling-generalization-train/PrisonersDilemma/player2_round_reward_step
1,0.4135918714171591
2,0.44821314634912
3,0.424654807844267
4,0.3844601351799728
5,0.4268858008311133
6,0.3867163760651329
7,0.4403333500057252
8,0.4264767645485942
9,0.3920039726033341
10,0.3450623883419898
11,0.3757586195785209
12,0.3623275761725445
13,0.2709330311762717
14,0.2814640939449964
15,0.3642823859790572
16,0.3293228906510157
17,0.3773091705661965
18,0.4201030418329664
19,0.364493881824087
20,0.4126597270172638
21,0.3887115144084716
22,0.06272523432449903
23,0.3650951487748363
24,0.3778911397018014
25,0.35941155130879
26,0.3531873841887386
27,0.3129487750453308
28,0.3496861154152565
29,0.3764870261345645
30,0.3108145541410344
31,0.3604869750362716
32,0.2893973890847177
33,0.3147566952900338
34,0.3735108581668875
35,0.3303565675810258
36,0.3863806908894559
37,0.3009388759891088
38,0.2625437497097388
39,0.2981321478560497
40,0.3718746044090713
41,0.3437084653285312
42,0.3988442298984705
43,0.3033659801313282
44,0.3510395677707274
45,0.381616991614494
46,0.3034298630500858
47,0.2816594571003951
48,0.3386459483498957
49,0.3025286906246417
50,0.2832629930001735
